File,Invoice,Items,Updated,Unchanged,New Materials,Needs Review,Error
Credit_Note_26 CN-4114_KMS CONCEPTS LTD.pdf,Credit_Note_26 CN-4114_KMS CONCEPTS LTD,0,0,0,0,0,
Sales_Invoice_26 SE-2610_KMS CONCEPTS LTD.pdf,SE-2610,3,1,2,0,0,
Sales_Invoice_26 SE-3114_KMS CONCEPTS LTD.pdf,SE-3114,4,1,3,0,0,
