File,Invoice,Items,Updated,Unchanged,New Materials,Needs Review,Error
Invoice 96236 from Icon Building Products Limited - 05_05_2026.pdf,96236,1,1,0,0,0,
Invoice 96690 from Icon Building Products Limited - 22_05_2026.pdf,96690,6,3,3,0,0,
Invoice 97112 from Icon Building Products Limited - 15_06_2026.pdf,97112,5,1,4,0,0,
Invoice 97450 from Icon Building Products Limited - 25_06_2026.pdf,97450,4,3,1,3,0,
Invoice 97697 from Icon Building Products Limited - 07_07_2026.pdf,97697,5,1,4,1,0,
Invoice 98272 from Icon Building Products Limited - 30_07_2026.pdf,98272,7,4,3,3,0,
Invoice 98716 from Icon Building Products Limited - 17_08_2026.pdf,98716,1,1,0,1,0,
